izvajalec,drzava,leto_rojstva
FloyyMenor,Chile,2005
Cris Mj,Chile,2001
Warren Zeiders,,
Artemas,United Kingdom,1999
Xavi,United States,2003
Myles Smith,United Kingdom,1998
Paul Russell,United States,1997
Summer Walker,United States,1996
4Batz,United States,2003
Koe Wetzel,United States,1992
Yeat,United States,2000
Nate Smith,United States,1985
Victoria Monét,United States,1989
Tucker Wetmore,United States,1999
